epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,9923.99,0.83086,1.05207,1.1452,0.84421,0.79197,0.8603,0.7507,0.44681,0.71428,0.79531,0.000805308,0.000805308,0.000805308
119,10008.2,0.8214,1.02863,1.13969,0.84645,0.79127,0.86061,0.75122,0.44592,0.71545,0.79425,0.000802208,0.000802208,0.000802208
120,10091.8,0.81896,1.0389,1.13574,0.84639,0.79142,0.86072,0.75171,0.44539,0.71368,0.79407,0.00079909,0.00079909,0.00079909
121,10175.5,0.82529,1.04452,1.14175,0.85464,0.78226,0.86124,0.7528,0.44489,0.71262,0.79378,0.000795954,0.000795954,0.000795954
122,10260.1,0.82122,1.03032,1.1385,0.85769,0.78114,0.86154,0.75308,0.44475,0.71073,0.79393,0.0007928,0.0007928,0.0007928
123,10344.1,0.82256,1.03219,1.13823,0.85891,0.78166,0.86186,0.75304,0.4443,0.7099,0.79374,0.000789628,0.000789628,0.000789628
124,10428.1,0.81597,1.03406,1.13672,0.8635,0.78148,0.86184,0.753,0.4441,0.70722,0.79371,0.000786438,0.000786438,0.000786438
125,10511.7,0.81543,1.03252,1.135,0.85584,0.78727,0.86207,0.75308,0.44382,0.70431,0.79358,0.000783231,0.000783231,0.000783231
126,10595.9,0.81619,1.01575,1.13462,0.85905,0.7863,0.86181,0.7527,0.44329,0.70319,0.79336,0.000780007,0.000780007,0.000780007
127,10679.9,0.81691,1.0187,1.13502,0.86076,0.78657,0.86202,0.75337,0.44303,0.70108,0.79354,0.000776766,0.000776766,0.000776766
128,10764.4,0.80855,1.02137,1.12895,0.86043,0.78782,0.86232,0.75421,0.44252,0.69864,0.79316,0.000773509,0.000773509,0.000773509
129,10848.3,0.81022,1.00451,1.13175,0.86054,0.78826,0.86252,0.75465,0.44235,0.6965,0.79295,0.000770234,0.000770234,0.000770234
130,10933.8,0.80193,0.9962,1.12594,0.86409,0.78812,0.86283,0.75521,0.44202,0.69314,0.79275,0.000766944,0.000766944,0.000766944
131,11017.7,0.80916,1.00879,1.13016,0.86722,0.78721,0.86316,0.75543,0.44203,0.69168,0.79263,0.000763637,0.000763637,0.000763637
132,11101.3,0.80319,1.00022,1.1313,0.88016,0.78167,0.86285,0.75604,0.44169,0.68954,0.79221,0.000760314,0.000760314,0.000760314
133,11185.6,0.80513,1.00657,1.13026,0.88036,0.78263,0.86425,0.75606,0.44137,0.68762,0.79222,0.000756976,0.000756976,0.000756976
134,11269,0.80653,0.9884,1.12738,0.87983,0.78349,0.86462,0.75658,0.44146,0.68546,0.79222,0.000753621,0.000753621,0.000753621
135,11352.5,0.80039,0.98886,1.12798,0.87976,0.78259,0.86474,0.75649,0.44145,0.6851,0.79237,0.000750252,0.000750252,0.000750252
136,11436,0.80163,0.99287,1.12617,0.88073,0.78447,0.86471,0.75668,0.44109,0.68339,0.79218,0.000746868,0.000746868,0.000746868
