epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,13231,0.81895,1.09589,1.17645,0.87543,0.76284,0.86323,0.76802,0.4027,0.80505,0.7784,0.000886404,0.000886404,0.000886404
90,13379,0.8128,1.09782,1.17106,0.83388,0.79233,0.8643,0.76955,0.40232,0.79728,0.77834,0.000883914,0.000883914,0.000883914
91,13526.8,0.81519,1.09421,1.17343,0.84482,0.78582,0.86516,0.77074,0.40233,0.80749,0.77825,0.000881401,0.000881401,0.000881401
92,13674.9,0.81129,1.08123,1.17093,0.84315,0.78724,0.86542,0.77109,0.40291,0.80907,0.77868,0.000878864,0.000878864,0.000878864
93,13822.6,0.80399,1.06976,1.16519,0.84419,0.78741,0.86586,0.77172,0.40208,0.80675,0.77768,0.000876305,0.000876305,0.000876305
94,13970.9,0.80088,1.07847,1.16701,0.84111,0.78998,0.86645,0.77256,0.40148,0.80096,0.7777,0.000873723,0.000873723,0.000873723
95,14120.3,0.80589,1.07858,1.16546,0.84293,0.792,0.86686,0.77299,0.4017,0.79895,0.77809,0.000871117,0.000871117,0.000871117
96,14268.2,0.80132,1.06582,1.165,0.85522,0.78205,0.8677,0.77407,0.4017,0.79618,0.77827,0.00086849,0.00086849,0.00086849
97,14416.2,0.80513,1.06733,1.16911,0.87118,0.77208,0.86815,0.77359,0.4012,0.79358,0.77817,0.000865839,0.000865839,0.000865839
98,14564.3,0.80498,1.05241,1.16762,0.85116,0.788,0.86844,0.77442,0.40075,0.79043,0.77806,0.000863167,0.000863167,0.000863167
99,14712.3,0.79312,1.04506,1.15977,0.85443,0.78785,0.86884,0.77479,0.40099,0.78551,0.77852,0.000860473,0.000860473,0.000860473
100,14860.2,0.80164,1.05068,1.16488,0.85669,0.78685,0.86904,0.77537,0.40021,0.7791,0.77773,0.000857756,0.000857756,0.000857756
101,15008,0.78552,1.02678,1.15286,0.86912,0.77954,0.86931,0.7757,0.3999,0.7801,0.77761,0.000855018,0.000855018,0.000855018
102,15156.6,0.80327,1.03986,1.16228,0.8606,0.78754,0.86975,0.77654,0.39995,0.77948,0.77821,0.000852258,0.000852258,0.000852258
103,15305.8,0.7941,1.03744,1.16015,0.8717,0.77987,0.87004,0.77691,0.39948,0.77606,0.77774,0.000849477,0.000849477,0.000849477
104,15454.4,0.78124,1.0172,1.15573,0.87289,0.77901,0.87018,0.77726,0.39987,0.77916,0.778,0.000846674,0.000846674,0.000846674
105,15602.7,0.7902,1.0343,1.1597,0.87169,0.7789,0.87032,0.77749,0.39972,0.77974,0.77779,0.000843851,0.000843851,0.000843851
106,15750.8,0.77946,1.01305,1.15402,0.87063,0.78164,0.87071,0.77767,0.3995,0.78011,0.77753,0.000841006,0.000841006,0.000841006
107,15898.6,0.78783,1.01781,1.1577,0.86966,0.78193,0.87098,0.77808,0.39923,0.77885,0.7775,0.000838141,0.000838141,0.000838141
108,16047,0.78102,1.00303,1.14955,0.86883,0.78266,0.87101,0.77821,0.39873,0.77763,0.77734,0.000835255,0.000835255,0.000835255
109,16194.8,0.78164,1.01704,1.15067,0.87287,0.78374,0.87128,0.7784,0.39848,0.77618,0.77719,0.000832349,0.000832349,0.000832349
110,16342.8,0.78081,1.00023,1.1547,0.87094,0.78439,0.87135,0.7788,0.39849,0.77429,0.77733,0.000829423,0.000829423,0.000829423
111,16491.9,0.78366,1.00574,1.1512,0.8696,0.78374,0.87145,0.77894,0.39833,0.77042,0.7774,0.000826477,0.000826477,0.000826477
112,16640.3,0.77767,0.99533,1.15069,0.86893,0.78561,0.87172,0.7798,0.39758,0.76155,0.77691,0.000823511,0.000823511,0.000823511
113,16788.3,0.7706,0.99372,1.14711,0.86902,0.78614,0.87187,0.7798,0.39762,0.75524,0.77697,0.000820525,0.000820525,0.000820525
114,16937,0.77159,0.99653,1.1505,0.86883,0.78549,0.87209,0.77994,0.39729,0.74731,0.77691,0.00081752,0.00081752,0.00081752
115,17085,0.77076,0.99647,1.1456,0.86926,0.78572,0.87197,0.78,0.39662,0.73871,0.77622,0.000814495,0.000814495,0.000814495
116,17234.3,0.75849,0.96049,1.13791,0.87596,0.78268,0.87237,0.78064,0.39624,0.72867,0.77596,0.000811452,0.000811452,0.000811452
117,17382.4,0.76514,0.9767,1.14173,0.87393,0.78439,0.8727,0.78057,0.39594,0.72762,0.77564,0.000808389,0.000808389,0.000808389
118,17530.3,0.76954,0.98528,1.14609,0.87199,0.78486,0.87284,0.78059,0.39517,0.72281,0.77529,0.000805308,0.000805308,0.000805308
119,17679.8,0.76351,0.96777,1.1388,0.87187,0.78684,0.87298,0.7815,0.39485,0.72407,0.77535,0.000802208,0.000802208,0.000802208
120,17828.4,0.7602,0.96777,1.13883,0.87102,0.78717,0.87293,0.78152,0.39433,0.72064,0.77487,0.00079909,0.00079909,0.00079909
