epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,20924.6,0.66634,0.7598,1.13802,0.87187,0.82054,0.87143,0.78863,0.35341,0.6072,0.79692,0.000871117,0.000871117,0.000871117
96,21144.7,0.66281,0.75581,1.13449,0.87139,0.8191,0.87101,0.78865,0.35278,0.60384,0.79638,0.00086849,0.00086849,0.00086849
97,21363.9,0.6636,0.75872,1.13867,0.87177,0.82095,0.871,0.78874,0.35224,0.60326,0.79586,0.000865839,0.000865839,0.000865839
98,21583.9,0.66759,0.75309,1.13909,0.87155,0.81762,0.86973,0.78858,0.35197,0.6054,0.79577,0.000863167,0.000863167,0.000863167
99,21803.3,0.65817,0.74131,1.13001,0.87,0.81877,0.86922,0.78811,0.35151,0.60572,0.79527,0.000860473,0.000860473,0.000860473
100,22023.4,0.6657,0.74896,1.14149,0.87859,0.81342,0.86925,0.78834,0.35197,0.60667,0.79564,0.000857756,0.000857756,0.000857756
101,22243.1,0.65449,0.73508,1.13787,0.88124,0.81072,0.86955,0.78845,0.35214,0.60603,0.79616,0.000855018,0.000855018,0.000855018
102,22463.1,0.66473,0.73816,1.13827,0.88169,0.81259,0.87002,0.78881,0.35187,0.60668,0.796,0.000852258,0.000852258,0.000852258
103,22682.5,0.65864,0.74034,1.13779,0.88036,0.81362,0.87031,0.78913,0.35159,0.60252,0.79615,0.000849477,0.000849477,0.000849477
104,22903.1,0.65218,0.73185,1.13964,0.87779,0.81532,0.87092,0.78967,0.35117,0.60097,0.79602,0.000846674,0.000846674,0.000846674
105,23123.5,0.66061,0.74456,1.1468,0.88081,0.81236,0.87161,0.7903,0.35096,0.59828,0.79588,0.000843851,0.000843851,0.000843851
106,23343.2,0.65545,0.73599,1.14048,0.88283,0.81138,0.87155,0.78996,0.35062,0.59592,0.79583,0.000841006,0.000841006,0.000841006
107,23563,0.6626,0.73891,1.14657,0.88511,0.80895,0.87153,0.78959,0.35023,0.59449,0.79569,0.000838141,0.000838141,0.000838141
108,23782.7,0.65058,0.71972,1.13273,0.88425,0.80923,0.87145,0.79006,0.34901,0.59156,0.79477,0.000835255,0.000835255,0.000835255
109,24002.3,0.65488,0.72755,1.1385,0.88684,0.80861,0.87137,0.78984,0.34897,0.59239,0.79501,0.000832349,0.000832349,0.000832349
110,24221.7,0.65631,0.73029,1.14044,0.88336,0.80986,0.87138,0.78986,0.34899,0.5932,0.7955,0.000829423,0.000829423,0.000829423
111,24441.1,0.65701,0.73784,1.13256,0.88627,0.8082,0.87134,0.79003,0.34857,0.5908,0.79552,0.000826477,0.000826477,0.000826477
112,24661.1,0.66206,0.72522,1.13016,0.88416,0.80846,0.87103,0.78977,0.34817,0.59088,0.79554,0.000823511,0.000823511,0.000823511
113,24880.6,0.65331,0.73271,1.13343,0.88315,0.80908,0.871,0.78979,0.34762,0.58958,0.79554,0.000820525,0.000820525,0.000820525
114,25100.3,0.65195,0.72985,1.13811,0.88089,0.81004,0.87116,0.78975,0.34738,0.58458,0.79572,0.00081752,0.00081752,0.00081752
115,25319.9,0.65497,0.73137,1.14119,0.87933,0.80986,0.87158,0.79015,0.34731,0.58123,0.79595,0.000814495,0.000814495,0.000814495
116,25540.8,0.64568,0.70691,1.1328,0.87784,0.81077,0.8719,0.79026,0.34711,0.57718,0.79619,0.000811452,0.000811452,0.000811452
